node_id,edrpou_code,name,level,node_type,main_activity,registration_date,manager_signatory,address,telephone_fax,email,web_page
28,34524585,"LLC ""NF TRADING UKRAINE""",2,COMPANY,46.71 Wholesale trade in solid liquid and gaseous fuels and similar products,09/13/2006,KALYNOVSKY YURIY VLADIMIROVICH,"Ukraine, 04070, Kyiv city, BORICHIV TOK, building 33",044-490-57-77,office@nft.com.ua,
29,40363052,"LLC ""NF TRADING SWITZERLAND AG (NF TRADING SWITZERLAND AG)""",2,COMPANY,,,,,,,
30,,BRINKHAUS STANISLAV AUGUSTOVICH,2,INDIVIDUAL,,,,,,,
31,33947320,"LLC ""UKRAINIAN NATIONAL AIRLINE""",2,COMPANY,51.10 Passenger air transport,02/17/2006,MOYSEYENKO YURIY MIKHAYLOVICH,"Ukraine, 01032, Kyiv city, street TARAS SHEVCHENKO, building 4/2, apartment 1",+38 (044) 594-50-90,main@windrose.aero,windrose.ua
32,21882697,"JV ""BORYSLAVSKA NAFTOVA KOMPANIYA"" LTD",2,COMPANY,06.10 Extraction of crude oil,06/11/1996,SAGAN VOLODYMYR MYKOLAYOVYCH,"Ukraine, 82300, Lviv region, BORYSLAV city, DROGOBYTSKA STREET, building 721",0324452445,office@bnk-neft.com.ua,bnk-neft.com.ua
33,00135213,"OJSC ""NAFTOGAZOBUDUVANNYA""",2,COMPANY,42.21 Construction of utilities for fluids,12/15/1994,USHAKOV IHOR OLEKSANDROVYCH,"Ukraine, 01033, Kyiv city, BOHDAN KHMELNYTSKY, building 6",+38 (044) 586 37 70,+38 (044) 235-14-23,,
34,30563636,"LLC ""NAFTOGAZ SERVICES""",2,COMPANY,42.21 Construction of utilities for fluids,05/14/1999,PERRENKO MYKOLA MYKOLAYOVYCH,"Ukraine, 01601, Kyiv city, BOHDANA KHMELNYTSKOHO STREET, building 6",(044) 235-14-23,i.burnatovych@services.naftogaz.com,
35,38368151,"LLC ""LNG TERMINAL""",2,COMPANY,52.10 Warehousing and storage,12/29/2011,VINOGRADOV KONSTANTIN KONSTANTIN,"Ukraine, 01001, Kyiv city, TARASA SHEVCHENKO, building 36",+38 (044) 585-68-00,info@lngterminal.com.ua,
36,,"ROSHEN CONFECTIONERY CORPORATION (ROSHEN CONFECTIONERY CORPORATION)",2,GROUP,,,,,,,
37,00382220,"PJSC ""VINNYTSIA CONFECTIONERY FACTORY""",2,COMPANY,10.82 Production of cocoa chocolate and sugar confectionery,11/28/1995,"MYKOLAYOVYCH VLADIMIR VOLODYMYROVYCH, GAVILETS MIKHAYLO MYKOLAYOVYCH","Ukraine, 21032, Vinnytsia region, Vinnytsia city, Hlinky village, Nemyrivske highway, building 117","+38 (043) 255-38-00, +38 (043) 255-38-44",,roshen.com
38,00382080,"PJSC ""MARIUPOL CONFECTIONERY FACTORY ""ROSHEN""",2,COMPANY,10.82 Production of cocoa chocolate and sugar confectionery,11/29/1996,NAKONECHNY VOLODYMYR VOLODYMYROVYCH,"Ukraine, 87515, Donetsk region, MARIUPOL city, NIKOPOL STREET, building 145","+38 (062) 952-11-34, +38 (062) 952-16-58",,roshen.com
39,00382075,"PJSC ""CONFECTIONERY FACTORY"" KARL MARX """,2,COMPANY,10.82 Production of cocoa chocolate and sugar confectionery,12/12/1996,BABENKO LILIYA GRYGORIVNA,"Ukraine, 01601, Kyiv city, Bohdana Khmelnytskoho, building 17-19","+38 (044) 593-75-00, +38 (044) 593-75-08",roshen@roshen.com.ua,roshen.com
40,00382191,"PJSC ""KYIV CONFECTIONERY FACTORY ""ROSHEN""",2,COMPANY,10.82 Production of cocoa chocolate and sugar confectionery,11/29/1996,NAKONECHNY VOLODYMYR VOLODYMYROVYCH,"Ukraine, 03039, Kyiv city, ACADEMICIAN ZABOLOTNY STREET, building 15","+38 (044) 259-78-67, +38 (044) 259-79-62",fabryka@roshen.com.ua,roshen.com
41,00373296,"PJSC ""KREMENCHUGKA CONFECTIONERY FACTORY ""ROSHEN""",2,COMPANY,10.82 Production of cocoa chocolate and sugar confectionery,11/25/1996,MASYUTA VASYL PAVLOVYCH,"Ukraine, 39600, Poltava region, KREMENCHUK city, building 6, I. PRYKHODKA STREET","+38 (053) 663-61-10, +38 (053) 663-67-80",,roshen.com
42,25112243,"SUBSIDIARY ENTERPRISE OF THE CONFECTIONERY CORPORATION ""ROSHEN"" BONBONETTI """,2,COMPANY,10.82 Production of cocoa chocolate and sugar confectionery,08/19/1998,NAKONECHNY VOLODYMYR VOLODYMYROVYCH,"Ukraine, 03039, Kyiv city, ACADEMICIAN ZABOLOTNY STREET, building 15","+38 (044) 257-77-00, +38 (044) 257-77-00",,roshen.com
43,32790234,"LLC ""CENTRAL DISTRIBUTION CENTER ""ROSHEN""",2,COMPANY,46.36 Wholesale trade in sugar confectionery and bakery products,04/11/2003,NAKONECHNY VOLODYMYR VOLODYMYROVYCH,"Ukraine, 03039, Kyiv city, ACADEMICIAN ZABOLOTNY STREET, building 15","+38 (044) 390-45-96, +38 (044) 390-45-96",logistyka@roshen.com.ua,roshen.com
44,20083351,"LLC ""ROSHEN BOUTIQUE""",2,COMPANY,47.24 Retail trade in bread bakery and flour confectionery products in specialized stores,06/18/1998,VASYURA NATALIA OLEKSIIVNA,"Ukraine, 01601, Kyiv city, Bohdana Khmelnytskoho, building 17/19/4","+38 (044) 351-71-51, +38 (044) 351-71-51",,roshen.com
45,00382057,"BRANCH OF THE CONFECTIONERY CORPORATION ""ROSHEN"" YAHOTINSKY SUGAR PLANT """,2,COMPANY,10.81 Production of sugar,04/27/2000,GONDAR OLENA PAVLIVNA,"Ukraine, 09700, Kyiv region, YAGOTYN city, SADOVA STREET, building 2","+38 (0575) 525-50, +38 (0575) 527-67",,roshen.com
46,00374160,"BRANCH OF THE CONFECTIONERY CORPORATION ""ROSHEN"" LITINSKY DAIRY CANNING PLANT """,2,COMPANY,10.51 Processing of milk and production of butter and cheese,04/27/2000,GNITYUK DMYTRO VADYMOVYCH,"Ukraine, 22300, Vinnytsia region, LITYN city, Shkilna street, building 50","+38 (043) 432-21-04, +38 (043) 432-21-66",lityn@roshen.com.ua,roshen.com
47,23050966,"LLC ""ROSHEN EUROPE""",2,COMPANY,46.36 Wholesale trade in sugar confectionery and bakery products,12/15/1999,NAKONECHNY VOLODYMYR VOLODYMYROVYCH,"Ukraine, 03039, Kyiv city, ACADEMICIAN ZABOLOTNY STREET, building 15",+38 (044) 351-71-50,europe@roshen.com.ua,roshen.com
48,25112831,"LCC ""LOGISTICS CENTER""",2,COMPANY,52.29 Other auxiliary activities in the field of transport,09/22/1998,HNATOVSKAYA NATALIA GEORGIYIVNA,"Ukraine, 01601, Kyiv city, SHEVCHENKO BULSHEVIK TARASA, building 36","+38 (044) 585-68-00, +38 (044) 585-68-00",,roshen.com
49,34703116,"LLC ""COMPANY WITH INVESTMENTS AND MANAGEMENT""",2,COMPANY,68.20 Renting and management of own or leased real estate,12/21/2006,NAKONECHNY VOLODYMYR VOLODYMYROVYCH,"Ukraine, 03039, Kyiv city, ACADEMICIAN ZABOLOTNY STREET, building 15",+38 (044) 591-75-00,,roshen.com
50,38282866,"LLC ""BERSHADMOLOKO""",2,COMPANY,10.51 Processing of milk and production of butter and cheese,10/19/2011,GNITYUK DMYTRO VADYMOVYCH,"Ukraine, 24400, Vinnytsia region, BERSHAD city, YUZHNY STREET, building 2",+38 (043) 452-22-57,milk@roshen.com.ua,roshen.com
51,,"Avista LLC (AVISTA LLC)",2,COMPANY,,,,,,,
52,,"Grayham Holdings S.A. Grayham Holdings S.A. (GRAYHAM HOLDINGS SA GRAYHAM HOLDINGS SA)",2,COMPANY,,,,,,,
53,,"YURIA-PHARM CORPORATION (YURIA-PHARM CORPORATION)",2,GROUP,,,,,,,
54,21615070,"PJSC ""PHARMACEUTICAL FIRM"" DARNYTSIA """,2,COMPANY,21.20 Production of pharmaceutical preparations and materials,11/21/1995,CHERNENKO SERGEY OLEKSANDROVYCH,"Ukraine, 02093, Kyiv city, BORYSPILSKA STREET, building 13","+38 (044) 207-51-05, +38 (044) 207-51-01",info@darnitsa.kiev.ua,www.darnitsa.ua
55,24263553,"PE ""TECHNOLOGICAL PHARMACY CENTER""",2,COMPANY,72.19 Research and experimental development in the field of other natural and technical sciences,01/28/1997,STESHENKO IGOR LEONIDOVICH,"Ukraine, 03134, Kyiv city, SIMYI PRAKHOVYKH STREET, building 27",+38 (044) 456-42-56,office@uf.net.ua,www.uf.net.ua
56,31980517,"PJSC ""HALYCHPHARM""",2,COMPANY,21.20 Production of pharmaceutical preparations and materials,12/05/2002,"PANKIV ROMA YAROSLAVIVNA, STAFIYCHUK SERHIY YAROSLAVOVYCH","Ukraine, 79024, Lviv region, Lviv city, Opryshkivska street, building 6/8","+38 (032) 294-99-50, +38 (032) 294-99-55",info@galychpharm.com,www.galychpharm.com
57,20280088,"LLC ""YURIA-PHARM""",2,COMPANY,21.20 Production of pharmaceutical preparations and materials,10/15/1998,DIMINSKY FEDIR VALERIYOVYCH,"Ukraine, 18030, Cherkasy region, Cherkasy city, VERBIVSKA STREET, building 108","+38 (044) 281-01-01, +38 (044) 465-66-12",office@uf.net.ua,www.uf.net.ua
58,30626371,"PJSC ""INFUSION""",2,COMPANY,21.20 Production of pharmaceutical preparations and materials,09/21/1999,DIMINSKY FEDIR VALERIYOVYCH,"Ukraine, 21034, Vinnytsia region, Vinnytsia city, VATUTINA STREET, building 20","+38 (0432) 55-61-48, +38 (0432) 52-53-59",info@infusion.com.ua,www.infusion.com.ua
59,35218173,"LLC ""FARMASOFT""",2,COMPANY,46.46 Wholesale trade in pharmaceutical goods,10/18/2007,DIMINSKY FEDIR VALERIYOVYCH,"Ukraine, 18031, Cherkasy region, Cherkasy city, PRYBORNOSTROYKA, building 177","+38 (044) 206-03-52, +38 (044) 465-66-14",info@farmasoft.com.ua,www.farmasoft.com.ua
60,19393080,"LLC ""UMAN PHARMACEUTICAL FACTORY""",2,COMPANY,21.20 Production of pharmaceutical preparations and materials,11/07/1995,MARENETS PETRO VITALIYOVYCH,"Ukraine, 20301, Cherkasy region, UMAN city, OLD CITY STREET, building 8/1","+38 (047) 443-84-62, +38 (047) 443-84-74",,
61,31287318,"LTD ""PHARMACEUTICAL COMPANY"" YURIA-PHARM """,2,COMPANY,21.20 Production of pharmaceutical preparations and materials,09/07/2000,CHERKASHINA DARIA SERGIYIVNA,"Ukraine, 03680, Kyiv city, ACADEMICIAN GLUSHKOVA AVENUE, building 1, campus 5, office 310",+38 (044) 275-01-08,office@uf.net.ua,www.uf.net.ua
62,40653568,"PP ""MEDYCHNY TSENTR "" YURIA VITA """,2,COMPANY,86.21 General practice of medicine,12/07/2015,SHUTKEVYCH TAISA MYKHAILIVNA,"Ukraine, 04050, Kyiv city, HLYBOCHYTSKA STREET, building 40-X, letter V",+38 (044) 206-08-80,info@vitacenter.com.ua,www.vitacenter.com.ua
63,,"KOSTYANTYN ZHEVAGO",2,INDIVIDUAL,,,,,,,
64,,"UKRPROM LTD (UKRPROM LTD)",2,COMPANY,,,,,,,
65,,"MISTRAL ENERGY LTD (MISTRAL ENERGY LTD)",2,COMPANY,,,,,,,
66,,"EASTONE GROUP LLC (EASTONE GROUP LLC)",2,COMPANY,,,,,,,
67,00191329,"OJSC ""POLTAVA MINING PROCESSING PLANT""",2,COMPANY,07.10 Mining of iron ores,12/13/1994,SHAMIN VIKTOR BORYSOVYCH,"Ukraine, 39802, Poltava region, GORISHNI PLAVN city, Budova Mira, building 16","+38 (053) 485-00-01, +38 (053) 485-05-00",office@ferrexpo.ua,www.ferrexpo.ch
68,00191282,"OJSC ""ERISTIVSKY MINING PROCESSING PLANT""",2,COMPANY,07.10 Mining of iron ores,11/29/1995,SHARIN OLEKSANDR OLEKSANDROVYCH,"Ukraine, 39703, Poltava region, Horishni Plavni city, Budovinnikiv street, building 15","+38 (053) 482-21-33, +38 (053) 484-76-00",office@ferrexpo.ua,www.ferrexpo.ch
69,00190977,"PJSC ""FERREXPO POLTAVA MINING""",2,COMPANY,07.10 Mining of iron ores,12/19/1995,VOYCHAK SERGEY STEPANOVICH,"Ukraine, 39800, Poltava region, Horishni Plavni city, Budova Myru, building 16","+38 (053) 485-05-00, +38 (053) 485-05-00",office@ferrexpo.ua,www.ferrexpo.ch
70,37182377,"LLC ""FERREXPO TRANSPORT""",2,COMPANY,49.41 Freight road transport,09/08/2010,VEVCHARENKO VOLODYMYR OLEKSIYOVYCH,"Ukraine, 39803, Poltava region, GORISHNI PLAVNI city, BUDOVINNIKIV STREET, building 37-A",+38 (050) 452-39-25,office@ferrexpo.ua,www.ferrexpo.ch
71,38772939,"LLC ""FERREXPO SERVICE""",2,COMPANY,35.11 Production of electricity,10/04/2012,BOGORODETSKY MYKOLA OLEKSANDROVYCH,"Ukraine, 39801, Poltava region, Gorishni Plavni city, Molodizhnna street, building 2, office 7",+38 (053) 482-21-26,office@ferrexpo.ua,www.ferrexpo.ch
72,30028173,"JV ""BELANOVO MINING""",2,COMPANY,07.10 Mining of iron ores,02/10/1999,KOVALCHUK IGOR VIKTOROVYCH,"Ukraine, 39801, Poltava region, GORISHNI PLAVN city, PERSHOTRAVNEVA STREET, building 1-A",+38 (050) 404-50-42,office@ferrexpo.ua,www.ferrexpo.ch
73,,"Ferrexpo AG (FERREXPO A G)",2,COMPANY,,,,,,,
74,,"Tanchem Limited (TANCHEM LIMITED)",2,COMPANY,,,,,,,
75,,"INTERPIPE LIMITED (INTERPIPE LIMITED)",2,COMPANY,,,,,,,
76,33668606,"PJSC INTERPIPE NYZHNYODNIPROVSK TUBE ROLLING PLANT",2,COMPANY,24.20 Production of pipes pipes and fittings of steel,09/15/2005,KOVALENKO OLEKSANDR SERGIYOVYCH,"Ukraine, 49081, Dnipropetrovsk region, DNIPRO city, STOLIETOVA STREET, building 21","+38 (056) 668-87-05, +38 (056) 668-87-76",tz@interpipe.biz,www.ntrp.interpipe.biz
77,05393139,"OJSC INTERPIPE NOVOMOSKOVSK PIPE PRODUCTION PLANT",2,COMPANY,24.20 Production of pipes pipes and fittings of steel,12/17/1996,LYZENKO BORYS OLEKSANDROVYCH,"Ukraine, 51200, Dnipropetrovsk region, NOVOMOSKOVSK city, SUKHA SURA STREET, building 115","+38 (056) 969-50-00, +38 (056) 969-50-33",nmpp@interpipe.biz,www.nmpp.interpipe.biz
78,05393116,"PJSC ""INTERPIPE DNIPROVTORMET""",2,COMPANY,38.32 Recovery of sorted waste materials,10/29/1996,KOROTKOV VALERY ANATOLIYOVYCH,"Ukraine, 49124, Dnipropetrovsk region, DNIPRO city, LIPOVA STREET, building 1","+38 (056) 765-84-67, +38 (056) 765-84-79",info@interpipe-vtormet.com.ua,vtormet.interpipe.biz
79,30668414,"LLC ""INTERPIPE NIKO TUBE""",2,COMPANY,24.20 Production of pipes pipes and fittings of steel,01/29/1999,DOVGAN YAROSLAV VOLODYMYROVYCH,"Ukraine, 48501, Dnipropetrovsk region, NIKOPOL city, TRUBNIKOV AVENUE, building 56","+38 (056) 639-30-10, +38 (056) 639-32-22",nikopol@interpipe.biz,www.interpipe.biz
80,35133988,"LLC ""INTERPIPE MANAGEMENT""",2,COMPANY,70.22 Consulting on business management issues,06/01/2007,SOKOLOV OLEKSANDR VOLODYMYROVYCH,"Ukraine, 49005, Dnipropetrovsk region, DNIPRO city, PYSARZHEVSKOHO STREET, building 1-A","+38 (056) 765-83-96, +38 (056) 765-84-04",info@im.interpipe.biz,www.interpipe.biz
81,35537363,"LLC ""INTERPIPE UKRAINE""",2,COMPANY,46.72 Wholesale trade of metals and metal ores,02/11/2008,TARANENKO VADYM OLEKSANDROVYCH,"Ukraine, 49005, Dnipropetrovsk region, DNIPRO city, PYSARZHEVSKOHO STREET, building 1-A","+38 (056) 765-83-80, +38 (056) 765-81-70",sales_ukraine@interpipe.biz,ukraine.interpipe.biz
82,31517013,"LLC ""LUGANSKY ELECTROMECHANICAL PLANT""",2,COMPANY,33.20 Installation of industrial machinery and equipment,10/17/2000,YATSENKO MYKHAYLO IVANOVYCH,"Ukraine, 91055, Luhansk region, LUGANSK city, FRUNZE STREET, building 107","+38 (064) 232-51-52, +38 (064) 232-51-21",,
83,36540415,"LLC ""M Z ""DNIPROSTAL""",2,COMPANY,24.10 Production of cast iron steel and ferroalloys,03/27/2009,TKACHENKO SERGEY VIKTOROVYCH,"Ukraine, 49051, Dnipropetrovsk region, DNIPRO city, STOLIETOVA STREET, building 21","+38 (056) 668-83-55, +38 (056) 668-83-53",dniprostal@interpipe.biz,www.interpipe.biz
84,39027423,"LLC ""VOSTOK RUDA""",2,COMPANY,07.10 Mining of iron ores,10/31/2013,KHOROSHYLOV MYKHALO MYKOLAYOVYCH,"Ukraine, 51925, Dnipropetrovsk region, Dniprovskyi district, Kirovske city, Dniprovska street, building 19",+38 (067) 611-07-55,info@vostokruda.com,
85,24432974,"LLC ""KLV PRODUCTION""",2,COMPANY,24.20 Production of pipes pipes and fittings of steel,12/07/2002,KUCHEROV MYKHAYLO VOLODYMYROVYCH,"Ukraine, 51931, Dnipropetrovsk region, Dniprovskyi district, village SLOBOZHANSKE, PROLETARSKA STREET, building 27","+38 (056) 927-62-74, +38 (056) 927-62-25",admin@klw.ua,www.klw.ua
86,34472153,"LLC ""INTERPIPE INVESTMENTS""",2,COMPANY,64.20 Activities of holding companies,05/08/2006,KOROTKOV VALERY ANATOLIYOVYCH,"Ukraine, 49005, Dnipropetrovsk region, DNIPRO city, PYSARZHEVSKOHO STREET, building 1-A",+38 (056) 765-84-04,secretary@interpipe-investments.com,
87,24326316,"LLC ""DNIPROSTEEL""",2,COMPANY,24.20 Production of pipes pipes and fittings of steel,10/10/1996,ZUBYK EVGEN GENNADIYOVYCH,"Ukraine, 49051, Dnipropetrovsk region, DNIPRO city, STOLIETOVA STREET, building 21","+38 (056) 668-87-05, +38 (056) 668-87-76",info@interpipe.biz,www.interpipe.biz
88,34351550,"LLC ""DNIPROPETROVSK REPAIR AND MECHANICAL PLANT""",2,COMPANY,33.12 Repair and maintenance of machinery and equipment for general purposes,06/07/2006,KOVALENKO VOLODYMYR MYKOLAYOVYCH,"Ukraine, 49051, Dnipropetrovsk region, DNIPRO city, STOLIETOVA STREET, building 21",+38 (050) 900-46-57,info@interpipe.biz,www.interpipe.biz
89,13548581,"LLC ""SCIENCE AND TECHNOLOGY CENTER ""STEEL""",2,COMPANY,72.19 Research and experimental development in the field of other natural and technical sciences,02/17/1994,CHERIKOV VALERY FEDOROVYCH,"Ukraine, 49051, Dnipropetrovsk region, DNIPRO city, STOLIETOVA STREET, building 21","+38 (056) 374-84-66, +38 (056) 374-83-62",,www.interpipe.biz
90,33517144,"LLC ""TRANSKOM-DNEPR""",2,COMPANY,49.41 Freight road transport,03/07/2005,MARKOV SERGEY VASILYEVICH,"Ukraine, 49051, Dnipropetrovsk region, DNIPRO city, STOLIETOVA STREET, building 21","+38 (056) 374-83-16, +38 (056) 374-83-34",transcom@i.ua,www.interpipe.biz
91,39117038,"LLC ""INTERPIPE-M""",2,COMPANY,46.72 Wholesale trade of metals and metal ores,10/11/2013,CHERIKOV VALERY FEDOROVYCH,"Ukraine, 49005, Dnipropetrovsk region, DNIPRO city, PYSARZHEVSKOHO STREET, building 1-A",+38 (056) 765-81-69,,,
